Name,Link,Type,Program(s),List,Score,Aliases,Addresses,Country
GENETICA GANADERA RANCHO ALEJANDRA S.P.R. DE R. L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12196,Entity,SDNTK,SDN,,,"Calle Alvarado No. 143, Local 5-J, Ensenada, Baja California Norte, Mexico; Zona Centro, Ojos Negros, Domicilio Conocido, Carretera Ensenada, San Felipe, Baja California Norte, Mexico",Mexico
GENETICA IMPORT-EXPORT S.P.R. DE R.L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12195,Entity,SDNTK,SDN,,,"Calle Alvarado No. 143, Local 5-J, Ensenada, Baja California Norte, Mexico; Zona Centro, Ojos Negros, Domicilio Conocido, Carretera Ensenada, San Felipe, Baja California Norte, Mexico; Avenida Iturbide No. 648-3, Ensenada, Baja California Norte, Mexico; Segunda No. 1576, Ensenada, Baja California Norte, Mexico; Colonia Obrera,",Mexico
GEOFARMA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13014,Entity,SDNTK,SDN,,,"Colonias No. 269, Guadalajara, Jalisco, 44100, Mexico; Calle Nueva York No. 304, Mexico City, Distrito Federal, 03810, Mexico; Col. Napoles, Benito Juarez, Wisconsin No. 68, Mexico City, Distrito Federal, 03810, Mexico; Col. Napoles, Benito Juarez, Uno No. 110, Boca Del Rio, Veracruz, 94296, Mexico; Col. Revoluciones,",Mexico
GEX EXPLORE S. DE R.L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=7160,Entity,SDNTK,SDN,,,"Avenida David Alfaro Siqueiros 2789-102, Colonia Zona Rio, Tijuana, Baja California, Mexico; Avenida David Alfaro 25, Tijuana, Baja California, CP 22320, Mexico; Calle Nezahualcoyotyl No. 1660, Colonia Zona Rio, Tijuana, Baja California, CP 22320, Mexico",Mexico
GONZALEZ PENUELAS DRUG TRAFFICKING ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26161,Entity,SDNTK,SDN,,," Sinaloa, Mexico",Mexico
"GRANATURA, S. DE P.R. DE R.L. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25978,Entity,SDNTK,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
GRAND CASINO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21088,Entity,SDNTK,SDN,,strong: GRAND CASINO ZAPOPAN,"Av. Adolfo Lopez Mateos Sur 4527, Zapopan, Jalisco, 45070, Mexico; Col. La Calma,",Mexico
"GROUP GRAND LIMITED, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26988,Entity,VENEZUELA-EO13850,SDN,,strong: GROUP GRAND LIMITED," Mexico City, Mexico",Mexico
"GRUPO CINJAB, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13419,Entity,SDNTK,SDN,,strong: PROVENZA RESIDENCIAL,"Av. Adolfo Lopez Mateos No. 5555, Tlajomulco de Zuniga, Jalisco, C.P. 46645, Mexico; Col. Santa Anita,",Mexico
"GRUPO COMERCIAL SAN BLAS, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13015,Entity,SDNTK,SDN,,,"Colonias 269, Guadalajara, Jalisco, 44160, Mexico; Avenida Vallarta Edif. Concentro, Zapopan, Jalisco, 45010, Mexico; No. 6503, Piso 16, Ciudad Granja, Homero No. 418, Sexto Piso, Mexico City, Distrito Federal, 11570, Mexico; Col. Polanco, Del Miguel Hidalgo, Benjamin Hill No. 178, Mexico City, Distrito Federal, 06140, Mexico; Colonia Condesa, Cuauhtemoc, Vicente Guerrero No. 1261, Municipio Morelia, Michoacan, 58010, Mexico; Colonia Molino de Parra, Avenida Vallarta #6503, Zapopan, Jalisco, 45010, Mexico; Torre Corey, Piso 16, Col. Ciudad Granja",Mexico
GRUPO INDUSTRIAL GAXIOLA HERMANOS S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11008,Entity,SDNTK,SDN,,strong: MADYVA; strong: GRUPO INDUSTRIAL GAXIOLA,"Calle del Oro, Esq. Vinedo, Colonia Parque Industrial, Hermosillo, Sonora, 83299, Mexico; Luis Encinas y Alberto Truqui, Hermosillo, Sonora, Mexico; Guadalajara, Jalisco, Mexico",Mexico
INMOBILIARIA ESTADO 29 S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9974,Entity,SDNTK,SDN,,,"Ocampo 1860 4, Tijuana, Baja California, Mexico; Colonia Zona Central, Entre Juan Sarabia y Plutarco Elias C., Tijuana, Baja California, Mexico",Mexico
INMOBILIARIA ESPARTA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9972,Entity,SDNTK,SDN,,,"Avenida Negrete 220 Local 2B, Tijuana, Baja California, Mexico; Colonia Zona Central,",Mexico
INMOBILIARIA EL PRESON S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9405,Entity,SDNTK,SDN,,," Chihuahua, Chihuahua, Mexico",Mexico
MS-13,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15412,Entity,TCO,SDN,,strong: MARA SALVATRUCHA, El Salvador; Mexico; Honduras; Guatemala; United States,Mexico
"OPERADORA DEL HUMAYA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40386,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Culiacan, Sinaloa, Mexico",Mexico
"MORGAN GOLDEN MINING, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=37271,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Hermosillo, Sonora, Mexico",Mexico
"MOREXPRESS, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11728,Entity,SDNTK,SDN,,,"Prol. Central ote. S/N, Tapachula, Chiapas, 30700, Mexico; Octava Sur No. 122, Col. San Sebastian, Tapachula, Chiapas, 30700, Mexico; Miramar No. 860-1, Zona Centro, Ensenada, Baja California, 22800, Mexico; Guadalajara, Jalisco, Mexico; Hermosillo, Sonora, Mexico; Culiacan, Sinaloa, Mexico",Mexico
GASOLINERAS SAN FERNANDO S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9404,Entity,SDNTK,SDN,,,"Avenida 3A y Calle Mina, Colonia Centro, Saucillo, Chihuahua, Mexico; Ciudad Camargo, Chihuahua, Mexico",Mexico
"GRUPO WISA, S.A.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18951,Entity,SDNTK,SDN,,strong: LA RIVIERA,"Calle 15 entre Avenida Santa Isabel y Avenida Roosevelt, Colon, Panama; Zona Libre de Colon, Torre Generali, Panama, Panama; Piso 11 y 12, Calle 54 Este y Avenida Samuel Lewis, Colombia; Guatemala; Belize; Costa Rica; El Salvador; Mexico; Bolivia; Honduras; Nicaragua; Uruguay",Mexico
"GRUPO ZAIT, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40384,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Culiacan, Sinaloa, Mexico",Mexico
GUERREROS UNIDOS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34182,Entity,ILLICIT-DRUGS-EO14059,SDN,,, Mexico,Mexico
GULF CARTEL,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10386,Entity,ILLICIT-DRUGS-EO14059; SDNTK,SDN,,strong: CARTEL DEL GOLFO; weak: CDG; strong: OSIEL CARDENAS-GUILLEN ORGANIZATION, Mexico,Mexico
GRUPO CRISTAL CORONA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12190,Entity,SDNTK,SDN,,,"Avenida Insurgentes No. 23, Interior 506, Piso 5, Mexico City, Distrito Federal, Mexico; Colonia San Rafael, Delegacion Cuauhtemoc, Avenida Fuentes de Piramides No. 1-604, Naucalpan, Mexico, Mexico; Oficina 17, Tecamachalco",Mexico
"HACIENDA CIEN ANOS DE TIJUANA, S. DE R.L. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10649,Entity,SDNTK,SDN,,"strong: COCINA ANTIGUA, S. DE R.L. DE C.V.; strong: LA HACIENDA DE TIJUANA, S. DE R.L. DE C.V.","Blvd. Sanchez Taboada S/N, No. 10451, Zona Rio, Fte. de Saverios e Arreola y cion accesso, Tijuana, Baja California, Mexico; Calle Jose Maria Velazco No. 1407, Colonia Zona Rio, Baja California, Mexico; Sanchez Taboada 10451, Rio Tijuana, Arreola y Cjon de Acceso Frente a Saveri, Tijuana, Baja California, Mexico",Mexico
HERNANDEZ SALAS TRANSNATIONAL CRIMINAL ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40795,Entity,TCO,SDN,,weak: HERNANDEZ SALAS TCO," Mexicali, Mexico; Tijuana, Mexico",Mexico
HOTEL PLAZA,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34156,Entity,TCO,SDN,,,"Avenida Madero 366, Mexicali, Baja California, 21100, Mexico; Centro Civico,",Mexico
HOTELERA LOPEZ MATEOS S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40797,Entity,TCO,SDN,,strong: HOTEL LAS TORRES,"Boulevard Adolfo Lopez Mateos 1401, Mexicali, Baja California, 21040, Mexico",Mexico
HOTELITO DESCONOCIDO,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18128,Entity,SDNTK,SDN,,,"Playon de Mismaloya s/n, Tomatlan, Jalisco, 48460, Mexico; La Cruz de Loreto, Blvd. Puerta de Hierro # 5210, Zapopan, Jalisco, 45116, Mexico; Piso 8, Col. Puerta de Hierro",Mexico
"ILC EXPORTACIONES, S. DE R.L. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11730,Entity,SDNTK,SDN,,"strong: GRUPO ILC; strong: ILC CONSULTORES ADMINISTRATIVOS, S. DE R.L. DE C.V.; strong: RESTAURANTE EL HABANERO, S.A. DE C.V.; weak: PERFECT SILHOUETTE; weak: ULTRAVITAL; weak: ULTRAPHARMA; weak: EQUIPOSPA","General Victoriano Cepeda 2, Colonia Observatorio, Miguel Hidalgo, Mexico, Distrito Federal, 11860, Mexico; Louisiana No. 24, Esq. Montana, Col. Napoles, Del. Benito Juarez, Mexico, Distrito Federal, 03810, Mexico; Periferico Sur #102, Col. Observatorio, Del. Miguel Hidalgo, Mexico, Distrito Federal, Mexico; Huixquilucan, Estado de Mexico, Mexico",Mexico
IMPORTACIONES Y EXPORTACIONES NOBARO S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12027,Entity,SDNTK,SDN,,,"Avenida Lazaro Cardenas Numero 730, Nahuatzen, Michoacan, Mexico; Calle Rafael Gomez Campos Numero 249, Mugica (Nueva Italia), Michoacan, Mexico; Colonia El Carrierl, Francisco I Madero Numero 105, Mugica, Michoacan, Mexico; Colonia Centro, Calle Ignacio Allende S/N Casi Esquina Con Lazaro Cardenas Norte, Nueva Italia, Michoacan, Mexico; Esquina de Ignacio Allende Numero y Lazaro Cardenas Norte Numero 500, Nueva Italia, Michoacan, Mexico",Mexico
INDIO VITORIO S. DE P.R. DE R.L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9400,Entity,SDNTK,SDN,,," Saucillo, Chihuahua, Mexico",Mexico
"INMOBILIARIA DEL RIO HUMAYA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40385,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Culiacan, Sinaloa, Mexico",Mexico
"HD COLLECTION, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18129,Entity,SDNTK,SDN,,,"Boulevard Puerta de Hierro # 5210 8C, Zapopan, Jalisco, 45116, Mexico; Col. Puerta de Hierro,",Mexico
"GRUPO DIJEMA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18090,Entity,SDNTK,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
"GRUPO EGMONT, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21095,Entity,SDNTK,SDN,,," Guadalajara, Jalisco, Mexico; Fernando de Alba 765-3, Guadalajara, Jalisco, 44500, Mexico; Col. Chapalita,",Mexico
"GRUPO EMPRESARIAL EPTA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46216,Entity,ILLICIT-DRUGS-EO14059,SDN,,strong: GRUPO EPTA," Puerto Vallarta, Jalisco, Mexico; Leon, Guanajuato, Mexico",Mexico
MEXPACKING SOLUTIONS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42026,Entity,ILLICIT-DRUGS-EO14059,SDN,,weak: MEXPACKING,"Calle 2DA, Numero Exterior 5211, Chihuahua, 31050, Mexico; Colonia Santa Rosa, Calle Circuito Loreto, Numero Exterior 3165, Chihuahua, 31220, Mexico; Hacienda Loreto,",Mexico
MEZA FLORES DRUG TRAFFICKING ORGANIZATION,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15000,Entity,SDNTK,SDN,,, Mexico,Mexico
MINERA LA CASTELLANA Y ANEXAS S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11001,Entity,SDNTK,SDN,,," Culiacan, Sinaloa, Mexico",Mexico
MINERA RIO PRESIDIO S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11000,Entity,SDNTK,SDN,,," Culiacan, Sinaloa, Mexico",Mexico
MIZU SUSHI LOUNGE,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18370,Entity,SDNTK,SDN,,,"Av. Francisco Villa 1329 Planta Alta, Puerto Vallarta, Jalisco, Mexico; Residencial Fluvial Vallarta, Av. Gral. Eulogio Parra 3200 Esq. Aztecas, Guadalajara, Jalisco, Mexico; Plaza Entorno Margarita L. 22 Piso 2, Col. Monraz",Mexico
MOLDURAS DEL NOROESTE S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11002,Entity,SDNTK,SDN,,,"Blvd. Francisco Eusebio Kino 177-7, Col. 5 de Mayo, Hermosillo, Sonora, 83010, Mexico",Mexico
"MONTALVA INMOBILIARIA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21121,Entity,SDNTK,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
LOS CABALLEROS TEMPLARIOS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15838,Entity,SDNTK,SDN,,, Mexico,Mexico
"MEXGLOBO, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10646,Entity,SDNTK,SDN,,,"Boulevard Agua Caliente No. 148, Col. Revolucion, Tijuana, Baja California, 22015, Mexico",Mexico
"LOLA LOLITA 1110, S. DE R.L. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21103,Entity,SDNTK,SDN,,"strong: LOLALOLITA 1110, S. DE R.L. DE C.V.","Av. Vallarta 1110, Guadalajara, Jalisco, 44160, Mexico; Col. Americana, Guadalajara, Jalisco, Mexico",Mexico
"JR CONTROLADORA DE RESTAURANTES, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12279,Entity,SDNTK,SDN,,,"Martin L. Guzman 259-3, Mexico City, Mexico; Colonia Villa de Cortes, Delegacion Benito Juarez",Mexico
"INTERCORP LEGOCA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18094,Entity,SDNTK,SDN,,,"Avenida Fco I Madero 643, Guadalajara, Jalisco, 44100, Mexico; Colonia Guadalajara Centro,",Mexico
INTERNATIONAL INVESTMENTS HOLDING S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28228,Entity,SDNTK,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
"INTERNATIONAL REALTY & MAINTENANCE, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46212,Entity,ILLICIT-DRUGS-EO14059,SDN,,"strong: INTERNATIONAL REALTY AND MAINTENANCE, S.A. DE C.V."," Puerto Vallarta, Jalisco, Mexico",Mexico
IYARI,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25139,Entity,GLOMAG,SDN,,strong: IYARI DISENO DE COLECCION HUICHOL; strong: IYARI ALTO DISENO HUICHOL; strong: IYARI DISENO Y MODA ETNICO,"Av. De la Cultura No. 157, Tepic, Nayarit, C.P. 63157, Mexico; Col. Ciudad del Valle, Naciones Unidas 4579-C, Zapopan, Jalisco, Mexico; Patria Universidad,",Mexico
"J & P ADVERTISING, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18367,Entity,SDNTK,SDN,,"strong: J AND P ADVERTISING, S.A. DE C.V.","Calle Alberta No. 2166, Guadalajara, Jalisco, C.P. 44660, Mexico; Col. Los Colomos, Antioquia 2123-B, Guadalajara, Jalisco, Mexico; Col. Los Colomos,",Mexico
"JAFIELA BOUTIQUE, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=25760,Entity,SDNTK,SDN,,strong: LUSH STYLE BOUTIQUE; strong: LUSH STYLE,"Av. Naciones Unidas 5131 Local 3, Zapopan, Jalisco, Mexico; Colonia Jardines Universidad, Plaza Punto Rio, Culiacan, Sinaloa, Mexico; Blvd. Enrique Sanchez Alonso #1980 Local 7, Desarrollo Tres Rios",Mexico
JAMARO CONSTRUCTORES S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10365,Entity,SDNTK,SDN,,," Culiacan, Sinaloa, Mexico",Mexico
"INTEGRACION BADEVA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=39481,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Puerto Vallarta, Jalisco, Mexico",Mexico
"JM PROVIDERS OFFICE, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=39482,Entity,ILLICIT-DRUGS-EO14059,SDN,,,"Blvd. Francisco Medina Ascencio S/N Int. 36, Puerto Vallarta, Jalisco, C.P. 48333, Mexico; Col. Zona Hotelera Norte, Bahia de Banderas, Nayarit, Mexico",Mexico
MEGA EMPACADORA DE FRUTAS S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12026,Entity,SDNTK,SDN,,,"Carretera Nueva Italia-Uruapan, Nueva Italia, Michoacan, CP 61760, Mexico; Kilometro 2, Colonia La Estacion",Mexico
"MEGA COMERCIAL FERRELECTRICA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46217,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
GRUPO F Y F MEDICAL INTERNACIONAL DE EQUIPOS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13016,Entity,SDNTK,SDN,,," Mexico City, Distrito Federal, Mexico",Mexico
"GRUPO GASOLINERO COJIM, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21096,Entity,SDNTK,SDN,,"strong: GRUPO COJIM, S.A. DE C.V."," Guadalajara, Jalisco, Mexico; KM 39 700 Carretera Jalostotitlan, San Miguel El Alto, Jalisco, Mexico; San Julian, Carretera Jalostotitlan San Julian KM 39.70, San Miguel El Alto, Jalisco, Mexico; KM 1.5 Carretera San Julian a San Miguel El Alto, San Julian, Jalisco, 47140, Mexico",Mexico
GRUPO GUADALEST S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11487,Entity,SDNT,SDN,,,"Calle Enrique Wallon 424 Alts. Hab. 13, Mexico City, Distrito Federal, 11560, Mexico; Rincon del Bosque y Presidente Mazarik, Colonia Polanco, Naucalpan de Juarez, Estado de Mexico, Mexico",Mexico
GRUPO HORTA ZAVALA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12186,Entity,SDNTK,SDN,,,"Boulevard Aguacaliente No. 4558-1602, Tijuana, Baja California Norte, Mexico; Aviacion, Carranza y Pablo Sidar",Mexico
"GRUPO IMPERGOZA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13420,Entity,SDNTK,SDN,,strong: LA TIJERA PARQUE INDUSTRIAL; strong: PROVENZA CENTER,"Av. Adolfo Lopez Mateos No. 5565, Tlajomulco de Zuniga, Jalisco, C.P. 46645, Mexico; Col. Santa Anita, Av. Camino A La Tijera No. 806, Tlajomulco de Zuniga, Jalisco, C.P. 45645, Mexico; Col. La Tijera,",Mexico
INMOBILIARIA LA PROVINCIA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9973,Entity,SDNTK,SDN,,,"Cuauhtemoc 6046 3 Libertad, Tijuana, Baja California, Mexico",Mexico
INMOBILIARIA TIJUANA COSTA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9975,Entity,SDNTK,SDN,,,"Agua Caliente 10440 9, Tijuana, Baja California, Mexico; Colonia Aviacion, Entre Abelardo L. Rodriguez y Avenida Del Rio, Tijuana, Baja California, Mexico",Mexico
INMUEBLES SIERRA VISTA S.A. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10998,Entity,SDNTK,SDN,,," Hermosillo, Sonora, Mexico",Mexico
"LORENA DEL MAR, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12274,Entity,SDNTK,SDN,,," Mexico City, Mexico",Mexico
"MASTER REPOSTERIAS Y RESTAURANTES, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28243,Entity,SDNTK,SDN,,,"Naciones Unidas 6875 B9C, Zapopan, Jalisco, Mexico; Virreyes Residencial, Av. Naciones Unidas 6885 B 9 y B 8, Zapopan, Jalisco, 45136, Mexico; Paseo de los Virreyes,",Mexico
LOS GUEROS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12483,Entity,SDNTK,SDN,,weak: LOS GUERITOS; weak: LOS GUERITOS DE TECATITLAN; weak: LOS ASQUELINES; weak: LOS GUERRITOS; weak: LOS CALABAZOS; weak: LOS GUERROS; weak: RODRIGUEZ OLIVERA DTO,"Coto Cataluna No. 84, Zapopan, Jalisco, Mexico; Coto Cataluna No. 92, Zapopan, Jalisco, Mexico; Pablo Neruda No. 3583, Guadalajara, Jalisco, Mexico; Sendero de los Pinos No. 55, Zapopan, Jalisco, Mexico; Coto Villa Coral No. 23, Zapopan, Jalisco, Mexico; Residencial Villa Palma 200, Coto Murcia No. 16, Zapopan, Jalisco, Mexico; San Eliseo No. 1695, Zapopan, Jalisco, Mexico",Mexico
LOS ROJOS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=34197,Entity,ILLICIT-DRUGS-EO14059,SDN,,, Mexico,Mexico
LOS ZETAS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=11438,Entity,ILLICIT-DRUGS-EO14059; SDNTK; TCO,SDN,,strong: CARTEL DEL NORESTE; weak: CDN; weak: NORTHEAST CARTEL, Mexico,Mexico
"MAGNISERVIA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42437,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Puerto Vallarta, Jalisco, Mexico",Mexico
MALAS MANAS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40681,Entity,TCO,SDN,,," Sonora, Mexico",Mexico
"MANTENIMIENTO, AERONAUTICA, TRANSPORTE, Y SERVICIOS AEREOS S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12193,Entity,SDNTK,SDN,,strong: M.A.T.S.A. S.A. DE C.V.,"Calle 2, Hangar 10, Lot 19, Toluca, Mexico, Mexico; Aeropuerto Internacional de Toluca,",Mexico
"MARIMBA ENTERTAINMENT, S.R.L. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21104,Entity,SDNTK,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
"MASA FACIL, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12096,Entity,SDNT,SDN,,," Mexico, Distrito Federal, Mexico",Mexico
LOS CUINIS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17672,Entity,SDNTK,SDN,,strong: LOS CUINIS DRUG TRAFFICKING ORGANIZATION; strong: LOS QUINIS, Mexico,Mexico
"OPERADORA INTEGRAL DE COMERCIO, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=10642,Entity,SDNTK,SDN,,,"Blvd. Bellas Artes, No. 17686, No. Int. 5, Col. Garita de Otay, Tijuana, Baja California, Mexico",Mexico
PLAZA LOS TULES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18091,Entity,SDNTK,SDN,,strong: PLAZA VIRREYES,"Av. Naciones Unidas # 6875, Zapopan, Jalisco, Mexico; Fracc. Vista del Tule, Av. Naciones Unidas # 6895, Zapopan, Jalisco, Mexico; Fracc. Vista del Tule,",Mexico
"PRODUCCION PESQUERA DONA MARIELA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16607,Entity,SDNTK,SDN,,,"Avenida Puerto Mazatlan 6, Mazatlan, Sinaloa, CP 82050, Mexico; Colonia Parque Industrial Alfredo V Bonfil,",Mexico
CUBACANCUN CIGARS AND GIFT SHOPS,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=590,Entity,CUBA,SDN,,," Cancun, Mexico",Mexico
CRUZITA NOVEDADES,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21574,Entity,SDNTK,SDN,,strong: NOVEDADES CRUZITA," Sinaloa, Sinaloa, 81960, Mexico",Mexico
CORRALES SAN IGNACIO S.P.R. DE R.L. DE C.V.,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9402,Entity,SDNTK,SDN,,,"Domicilio en Ejido Ancon de Carros, Saucillo, Chihuahua, Mexico",Mexico
"CORPORATIVO TS BUSINESS INC, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=39480,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
"CORPORATIVO TITLE I, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=39479,Entity,ILLICIT-DRUGS-EO14059,SDN,,," Guadalajara, Jalisco, Mexico",Mexico
"DIFACULSA, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=46502,Entity,ILLICIT-DRUGS-EO14059,SDN,,,"Villa Dorada 3996, Culiacan, Sinaloa, Mexico; Fracc. Los Portales,",Mexico
"DISPERSORA GAEL, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21575,Entity,SDNTK,SDN,,,"Poblado Genaro Estrada, Sinaloa, Sinaloa, Mexico",Mexico
"DISPOSITIVOS INDUSTRIALES DINAMICOS, S.A. DE C.V.",https://sanctionssearch.ofac.treas.gov/Details.aspx?id=13009,Entity,SDNTK,SDN,,strong: DISDA,"Gaseoducto No. 7, Puebla, Puebla, 72226, Mexico; Parque Industrial Puebla 2000,",Mexico
